,Cae,Cbe,Cce,Cde,T,Ea1,k01,Ea2,k02,t_espacial,Ca,Cb,Cc,Cd
904,2.4187377843764244,1.6843926849959332,0.04729948645141525,0.09876262809975081,332.3604348482643,53000.0,5000.0,40769.230769230766,50.0,4249.619332073711,2.132878702365596,1.398533602985105,0.3331585684622434,0.38462171011057905
905,2.0179384367426105,2.727717605466703,0.0023631935152205476,0.033405376977001126,322.1154191321685,53000.0,5000.0,40769.230769230766,50.0,3567.6966713467236,1.8127611000523978,2.5225402687764906,0.20754053020543328,0.23858271366721384
906,2.9609327542967003,2.9525005215078397,0.07076974720579832,0.04770095612923272,329.48085403564824,53000.0,5000.0,40769.230769230766,50.0,4543.035785573439,2.4491829048193345,2.440750672030474,0.5825195966831642,0.5594508056065987
907,1.0845227920159326,2.0521017568436815,0.06503544971887275,0.01860157594478113,325.6921793436915,53000.0,5000.0,40769.230769230766,50.0,5097.010808839406,0.942139207569463,1.9097181723972119,0.20741903416534233,0.1609851603912507
908,0.9867601772675568,1.2858339054882353,0.08200688881620415,0.10225809165825772,333.5286855326366,53000.0,5000.0,40769.230769230766,50.0,4231.043547701355,0.8802987661556928,1.1793724943763713,0.18846829992806818,0.20871950277012175
909,2.6387315983136017,1.2815907223016052,0.021359797045969103,0.015091177398367392,326.2209619039121,53000.0,5000.0,40769.230769230766,50.0,4273.521487796089,2.453842866912512,1.0967019909005153,0.206248528447059,0.1999799087994573
910,1.9747069682572465,2.2876119617446733,0.08347822754715181,0.09857940656697353,332.86776002515126,53000.0,5000.0,40769.230769230766,50.0,5092.76870703885,1.61401139376658,1.926916387254007,0.44417380203781825,0.4592749810576399
911,1.4328769427130763,1.7541152096090005,0.08358654006898451,0.03592309092186883,326.480959255449,53000.0,5000.0,40769.230769230766,50.0,4716.382158746109,1.2767832253151485,1.5980214922110727,0.23968025746691235,0.19201680831979664
912,2.5813189980424176,2.308086909524867,0.04680751642245888,0.06624271314569018,327.16471635136224,53000.0,5000.0,40769.230769230766,50.0,3555.031448426659,2.3013381520899365,2.0281060635723858,0.3267883623749399,0.3462235590981712
913,3.0071401033858867,1.9997785592737085,0.06373198970198873,0.06745600687303469,329.4110719478173,53000.0,5000.0,40769.230769230766,50.0,3799.006373460194,2.681231464142577,1.6738699200303988,0.3896406289452984,0.39336464611634436
